Date,Tournament,Surface,Rd,Rk,vRk,meta_info,Score,Observed Player Name,Opponent Player Name,Observed Player W/L,More,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
8‑Apr‑2024,Monte Carlo Masters,Clay,SF,1,10,(8)Casper Ruud [NOR] d. (1)Djokovic,6-4 1-6 6-4,Novak Djokovic,Casper Ruud,L,(ch),1.19,3.8%,2.5%,58.2%,67.4%,57.6%,3/7,2:17
8‑Apr‑2024,Monte Carlo Masters,Clay,QF,1,11,(1)Djokovic d. (11)Alex De Minaur [AUS],7-5 6-4,Novak Djokovic,Alex De Minaur,W,(ch),1.24,3.1%,1.6%,65.6%,64.3%,59.1%,4/7,2:04
8‑Apr‑2024,Monte Carlo Masters,Clay,R16,1,24,(1)Djokovic d. Lorenzo Musetti [ITA],7-5 6-3,Novak Djokovic,Lorenzo Musetti,W,(ch),1.30,4.5%,3.0%,68.7%,67.4%,52.4%,3/6,1:58
8‑Apr‑2024,Monte Carlo Masters,Clay,R32,1,41,(1)Djokovic d. Roman Safiullin [RUS],6-1 6-2,Novak Djokovic,Roman Safiullin,W,(ch),3.16,2.9%,0.0%,64.7%,77.3%,91.7%,0/0,1:10
4‑Mar‑2024,Indian Wells Masters,Hard,R32,1,123,(LL)Luca Nardi [ITA] d. (1)Djokovic,6-4 3-6 6-3,Novak Djokovic,Luca Nardi,L,(ch),1.00,4.2%,1.1%,60.0%,77.2%,42.1%,8/11,2:20
4‑Mar‑2024,Indian Wells Masters,Hard,R64,1,69,(1)Djokovic d. Aleksandar Vukic [AUS],6-2 5-7 6-3,Novak Djokovic,Aleksandar Vukic,W,(ch),1.52,14.5%,6.6%,60.5%,82.6%,53.3%,4/6,2:10
15‑Jan‑2024,Australian Open,Hard,SF,1,4,(4)Jannik Sinner [ITA] d. (1)Djokovic,6-1 6-2 6-7(6) 6-3,Novak Djokovic,Jannik Sinner,L,(ch),0.64,6.0%,3.4%,68.1%,67.1%,45.9%,6/11,3:22
15‑Jan‑2024,Australian Open,Hard,QF,1,12,(1)Djokovic d. (12)Taylor Fritz [USA],7-6(3) 4-6 6-2 6-3,Novak Djokovic,Taylor Fritz,W,(ch),1.54,17.4%,2.6%,62.6%,81.9%,58.1%,4/6,3:45
15‑Jan‑2024,Australian Open,Hard,R16,1,19,(1)Djokovic d. (20)Adrian Mannarino [FRA],6-0 6-0 6-3,Novak Djokovic,Adrian Mannarino,W,(ch),2.31,24.6%,7.2%,69.6%,81.3%,61.9%,3/3,1:44
15‑Jan‑2024,Australian Open,Hard,R32,1,32,(1)Djokovic d. (30)Tomas Martin Etcheverry [ARG],6-3 6-3 7-6(2),Novak Djokovic,Tomas Martin Etcheverry,W,,1.72,11.9%,0.0%,67.9%,86.0%,59.3%,0/0,2:28
15‑Jan‑2024,Australian Open,Hard,R64,1,43,(1)Djokovic d. Alexei Popyrin [AUS],6-3 4-6 7-6(4) 6-3,Novak Djokovic,Alexei Popyrin,W,,1.24,9.2%,0.0%,61.3%,82.2%,58.7%,5/7,3:11
15‑Jan‑2024,Australian Open,Hard,R128,1,187,(1)Djokovic d. (Q)Dino Prizmic [CRO],6-2 6-7(5) 6-3 6-4,Novak Djokovic,Dino Prizmic,W,(ch),1.28,8.5%,0.8%,59.7%,66.2%,61.5%,5/9,4:01
1‑Jan‑2024,United Cup,Hard,QF,1,12,Alex De Minaur [AUS] d. Djokovic,6-4 6-4,Novak Djokovic,Alex De Minaur,L,(ch),0.41,5.9%,1.5%,63.2%,69.8%,44.0%,3/5,1:33
1‑Jan‑2024,United Cup,Hard,RR,1,31,Djokovic d. Jiri Lehecka [CZE],6-1 6-7(3) 6-1,Novak Djokovic,Jiri Lehecka,W,(ch),1.54,3.8%,2.5%,61.3%,73.5%,61.3%,3/5,2:16
1‑Jan‑2024,United Cup,Hard,RR,1,58,Djokovic d. Zhizhen Zhang [CHN],6-3 6-2,Novak Djokovic,Zhizhen Zhang,W,(ch),2.10,15.2%,2.2%,60.9%,85.7%,66.7%,0/0,1:12
25‑Nov‑2023,Davis Cup Finals SF: ITA vs SRB,Hard,RR,1,4,Jannik Sinner [ITA] d. Djokovic,6-2 2-6 7-5,Novak Djokovic,Jannik Sinner,L,,1.22,7.8%,1.3%,59.7%,76.1%,58.1%,1/4,
23‑Nov‑2023,Davis Cup Finals QF: SRB vs GBR,Hard,RR,1,18,Djokovic d. Cameron Norrie [GBR],6-4 6-4,Novak Djokovic,Cameron Norrie,W,,2.40,16.7%,2.1%,56.3%,88.9%,76.2%,0/0,
13‑Nov‑2023,Tour Finals,Hard,F,1,4,(1)Djokovic d. (4)Jannik Sinner [ITA],6-3 6-3,Novak Djokovic,Jannik Sinner,W,(ch),2.64,28.3%,0.0%,69.6%,90.6%,64.3%,2/2,1:43
13‑Nov‑2023,Tour Finals,Hard,SF,1,2,(1)Djokovic d. (2)Carlos Alcaraz [ESP],6-3 6-2,Novak Djokovic,Carlos Alcaraz,W,(ch),1.57,3.6%,1.8%,67.3%,81.1%,55.6%,4/4,1:28
13‑Nov‑2023,Tour Finals,Hard,RR,1,4,(4)Jannik Sinner [ITA] d. (1)Djokovic,7-5 6-7(5) 7-6(2),Novak Djokovic,Jannik Sinner,L,(ch),1.13,20.0%,1.0%,63.0%,81.0%,59.5%,1/3,3:09
13‑Nov‑2023,Tour Finals,Hard,RR,1,9,(1)Djokovic d. (9)Hubert Hurkacz [POL],7-6(1) 4-6 6-1,Novak Djokovic,Hubert Hurkacz,W,(ch),1.43,7.4%,1.2%,63.0%,74.5%,73.3%,0/1,2:05
13‑Nov‑2023,Tour Finals,Hard,RR,1,8,(1)Djokovic d. (8)Holger Rune [DEN],7-6(4) 6-7(1) 6-3,Novak Djokovic,Holger Rune,W,(ch),1.07,9.3%,3.7%,68.5%,74.3%,41.2%,3/6,3:04
30‑Oct‑2023,Paris Masters,Hard,F,1,17,(1)Djokovic d. Grigor Dimitrov [BUL],6-4 6-3,Novak Djokovic,Grigor Dimitrov,W,(ch),1.86,12.5%,2.1%,66.7%,81.3%,68.8%,0/0,1:38
30‑Oct‑2023,Paris Masters,Hard,SF,1,5,(1)Djokovic d. (5)Andrey Rublev [RUS],5-7 7-6(3) 7-5,Novak Djokovic,Andrey Rublev,W,(ch),1.03,14.4%,4.2%,66.9%,73.4%,59.0%,4/6,3:01
30‑Oct‑2023,Paris Masters,Hard,QF,1,7,(1)Djokovic d. (6)Holger Rune [DEN],7-5 6-7(3) 6-4,Novak Djokovic,Holger Rune,W,(ch),1.16,11.0%,4.4%,51.6%,83.0%,63.6%,0/1,2:54
30‑Oct‑2023,Paris Masters,Hard,R16,1,23,(1)Djokovic d. Tallon Griekspoor [NED],4-6 7-6(2) 6-4,Novak Djokovic,Tallon Griekspoor,W,,0.97,8.5%,6.6%,62.3%,77.3%,45.0%,6/9,2:39
30‑Oct‑2023,Paris Masters,Hard,R32,1,31,(1)Djokovic d. Tomas Martin Etcheverry [ARG],6-3 6-2,Novak Djokovic,Tomas Martin Etcheverry,W,(ch),1.49,11.5%,5.8%,61.5%,81.3%,60.0%,1/1,1:24
15‑Sep‑2023,Davis Cup Finals RR: ESP vs SRB,Hard,RR,1,25,Djokovic d. Alejandro Davidovich Fokina [ESP],6-3 6-4,Novak Djokovic,Alejandro Davidovich Fokina,W,,1.47,18.5%,1.9%,75.9%,80.5%,38.5%,0/1,
28‑Aug‑2023,US Open,Hard,F,2,3,(2)Djokovic d. (3)Daniil Medvedev [RUS],6-3 7-6(5) 6-3,Novak Djokovic,Daniil Medvedev,W,(ch),1.30,3.7%,5.5%,54.1%,81.4%,54.0%,2/3,3:17
28‑Aug‑2023,US Open,Hard,SF,2,47,(2)Djokovic d. Ben Shelton [USA],6-3 6-2 7-6(4),Novak Djokovic,Ben Shelton,W,(ch),1.36,5.1%,3.0%,67.7%,83.6%,34.4%,4/6,2:41
28‑Aug‑2023,US Open,Hard,QF,2,9,(2)Djokovic d. (9)Taylor Fritz [USA],6-1 6-4 6-4,Novak Djokovic,Taylor Fritz,W,(ch),1.30,7.4%,5.3%,60.6%,68.4%,56.8%,10/12,2:35
28‑Aug‑2023,US Open,Hard,R16,2,105,(2)Djokovic d. (Q)Borna Gojo [CRO],6-2 7-5 6-4,Novak Djokovic,Borna Gojo,W,,1.85,15.8%,3.9%,67.1%,88.2%,52.0%,0/1,2:26
