Date,Tournament,Surface,Rd,Rk,vRk,meta_info,Score,Observed Player Name,Opponent Player Name,Observed Player W/L,More,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
22‑Apr‑2024,Madrid,Clay,R16,512,31,(30)Jiri Lehecka [CZE] d. (PR)Nadal,7-5 6-4,Rafael Nadal,Jiri Lehecka,L,,0.67,2.8%,2.8%,61.1%,68.2%,50.0%,3/5,2:01
22‑Apr‑2024,Madrid,Clay,R32,512,91,(PR)Nadal d. Pedro Cachin [ARG],6-1 6-7(5) 6-3,Rafael Nadal,Pedro Cachin,W,,1.27,0.0%,0.0%,77.6%,64.4%,35.3%,2/6,3:04
22‑Apr‑2024,Madrid,Clay,R64,512,11,(PR)Nadal d. (10)Alex De Minaur [AUS],7-6(6) 6-3,Rafael Nadal,Alex De Minaur,W,,1.15,0.0%,3.2%,72.6%,71.1%,52.9%,2/4,2:02
22‑Apr‑2024,Madrid,Clay,R128,512,1028,(PR)Nadal d. (WC)Darwin Blanch [USA],6-1 6-0,Rafael Nadal,Darwin Blanch,W,,2.56,5.1%,0.0%,61.5%,79.2%,73.3%,0/0,1:04
15‑Apr‑2024,Barcelona,Clay,R32,644,11,(4)Alex De Minaur [AUS] d. (PR)Nadal,7-5 6-1,Rafael Nadal,Alex De Minaur,L,,0.60,0.0%,1.4%,68.5%,58.0%,34.8%,4/9,1:52
15‑Apr‑2024,Barcelona,Clay,R64,644,62,(PR)Nadal d. Flavio Cobolli [ITA],6-2 6-3,Rafael Nadal,Flavio Cobolli,W,,1.54,0.0%,6.1%,65.3%,78.1%,52.9%,1/2,1:25
1‑Jan‑2024,Brisbane,Hard,QF,672,55,Jordan Thompson [AUS] d. (WC)Nadal,5-7 7-6(6) 6-3,Rafael Nadal,Jordan Thompson,L,(ch),1.02,6.5%,1.9%,73.1%,73.4%,44.8%,1/3,3:26
1‑Jan‑2024,Brisbane,Hard,R16,672,102,(WC)Nadal d. (WC)Jason Kubler [AUS],6-1 6-2,Rafael Nadal,Jason Kubler,W,(ch),2.00,8.7%,6.5%,65.2%,80.0%,62.5%,4/4,1:24
1‑Jan‑2024,Brisbane,Hard,R32,672,98,(WC)Nadal d. (Q)Dominic Thiem [AUT],7-5 6-1,Rafael Nadal,Dominic Thiem,W,(ch),2.98,6.5%,2.2%,67.4%,90.3%,80.0%,0/0,1:29
16‑Jan‑2023,Australian Open,Hard,R64,2,65,Mackenzie Mcdonald [USA] d. (1)Nadal,6-4 6-4 7-5,Rafael Nadal,Mackenzie Mcdonald,L,(ch),0.78,5.9%,2.0%,63.7%,61.5%,48.6%,3/8,2:32
16‑Jan‑2023,Australian Open,Hard,R128,2,38,(1)Nadal d. Jack Draper [GBR],7-5 2-6 6-4 6-1,Rafael Nadal,Jack Draper,W,(ch),1.16,5.0%,2.5%,65.5%,73.1%,51.2%,7/11,3:41
2‑Jan‑2023,United Cup,Hard,RR,2,24,(7)Alex De Minaur [AUS] d. (4)Nadal,3-6 6-1 7-5,Rafael Nadal,Alex De Minaur,L,,0.92,2.2%,4.3%,60.9%,60.7%,44.4%,7/13,2:42
2‑Jan‑2023,United Cup,Hard,RR,2,14,(15)Cameron Norrie [GBR] d. (4)Nadal,3-6 6-3 6-4,Rafael Nadal,Cameron Norrie,L,,0.89,10.5%,4.2%,57.9%,72.7%,52.5%,9/11,2:44
14‑Nov‑2022,Tour Finals,Hard,RR,2,4,(1)Nadal d. (3)Casper Ruud [NOR],7-5 7-5,Rafael Nadal,Casper Ruud,W,(ch),1.93,26.2%,1.6%,67.2%,92.7%,60.0%,2/2,1:42
14‑Nov‑2022,Tour Finals,Hard,RR,2,6,(5)Felix Auger Aliassime [CAN] d. (1)Nadal,6-3 6-4,Rafael Nadal,Felix Auger Aliassime,L,(ch),0.82,1.6%,6.6%,59.0%,72.2%,48.0%,2/4,1:57
14‑Nov‑2022,Tour Finals,Hard,RR,2,9,(8)Taylor Fritz [USA] d. (1)Nadal,7-6(3) 6-1,Rafael Nadal,Taylor Fritz,L,(ch),0.59,10.1%,5.8%,71.0%,75.5%,40.0%,7/9,1:37
31‑Oct‑2022,Paris Masters,Hard,R32,2,31,Tommy Paul [USA] d. (2)Nadal,3-6 7-6(4) 6-1,Rafael Nadal,Tommy Paul,L,(ch),0.83,6.1%,3.0%,67.7%,67.2%,37.5%,3/8,2:32
29‑Aug‑2022,US Open,Hard,R16,3,26,(22)Frances Tiafoe [USA] d. (2)Nadal,6-4 4-6 6-4 6-3,Rafael Nadal,Frances Tiafoe,L,(ch),0.89,7.9%,7.9%,52.6%,71.7%,55.6%,3/8,3:34
29‑Aug‑2022,US Open,Hard,R32,3,91,(2)Nadal d. Richard Gasquet [FRA],6-0 6-1 7-5,Rafael Nadal,Richard Gasquet,W,,1.50,2.4%,9.4%,58.8%,78.0%,48.6%,6/7,2:17
29‑Aug‑2022,US Open,Hard,R64,3,60,(2)Nadal d. Fabio Fognini [ITA],2-6 6-4 6-2 6-1,Rafael Nadal,Fabio Fognini,W,,1.33,4.6%,2.3%,60.9%,67.9%,47.1%,4/10,2:43
29‑Aug‑2022,US Open,Hard,R128,3,198,(2)Nadal d. Rinky Hijikata [AUS],4-6 6-2 6-3 6-3,Rafael Nadal,Rinky Hijikata,W,,1.47,9.0%,2.0%,57.0%,77.2%,65.1%,3/4,3:08
15‑Aug‑2022,Cincinnati Masters,Hard,R32,3,152,(PR)Borna Coric [CRO] d. (2)Nadal,7-6(9) 4-6 6-3,Rafael Nadal,Borna Coric,L,,0.89,6.6%,7.7%,54.9%,84.0%,56.1%,1/2,2:51
27‑Jun‑2022,Wimbledon,Grass,SF,4,40,Nick Kyrgios [AUS] d. (2)Nadal,W/O,Rafael Nadal,Nick Kyrgios,L,,,,,,,,,
27‑Jun‑2022,Wimbledon,Grass,QF,4,14,(2)Nadal d. (11)Taylor Fritz [USA],3-6 7-5 3-6 7-5 7-6(4),Rafael Nadal,Taylor Fritz,W,(ch),1.02,3.0%,4.3%,65.2%,70.1%,47.4%,6/14,4:21
27‑Jun‑2022,Wimbledon,Grass,R16,4,25,(2)Nadal d. (21)Botic Van De Zandschulp [NED],6-4 6-2 7-6(6),Rafael Nadal,Botic Van De Zandschulp,W,(ch),1.41,10.2%,2.3%,63.6%,73.2%,65.6%,2/4,2:22
27‑Jun‑2022,Wimbledon,Grass,R32,4,54,(2)Nadal d. (27)Lorenzo Sonego [ITA],6-1 6-2 6-4,Rafael Nadal,Lorenzo Sonego,W,,1.72,3.0%,6.0%,67.2%,77.8%,63.6%,0/1,2:04
27‑Jun‑2022,Wimbledon,Grass,R64,4,106,(2)Nadal d. Ricardas Berankis [LTU],6-4 6-4 4-6 6-3,Rafael Nadal,Ricardas Berankis,W,,1.23,10.9%,3.4%,65.5%,71.8%,61.0%,3/5,3:02
27‑Jun‑2022,Wimbledon,Grass,R128,4,41,(2)Nadal d. Francisco Cerundolo [ARG],6-4 6-3 3-6 6-4,Rafael Nadal,Francisco Cerundolo,W,,1.12,3.9%,2.4%,69.3%,70.5%,43.6%,14/18,3:33
23‑May‑2022,Roland Garros,Clay,F,5,8,(5)Nadal d. (8)Casper Ruud [NOR],6-3 6-3 6-0,Rafael Nadal,Casper Ruud,W,(ch),1.77,1.6%,4.9%,63.9%,82.1%,45.5%,1/3,2:18
23‑May‑2022,Roland Garros,Clay,SF,5,3,(5)Nadal d. (3)Alexander Zverev [GER],7-6(8) 6-6 RET,Rafael Nadal,Alexander Zverev,W,(ch),1.06,3.4%,1.1%,59.8%,57.7%,48.6%,3/8,3:07
23‑May‑2022,Roland Garros,Clay,QF,5,1,(5)Nadal d. (1)Novak Djokovic [SRB],6-2 4-6 6-2 7-6(4),Rafael Nadal,Novak Djokovic,W,(ch),1.18,2.2%,2.9%,71.7%,64.6%,61.5%,8/12,4:12
23‑May‑2022,Roland Garros,Clay,R16,5,9,(5)Nadal d. (9)Felix Auger Aliassime [CAN],3-6 6-3 6-2 3-6 6-3,Rafael Nadal,Felix Auger Aliassime,W,,1.23,2.2%,3.0%,67.2%,66.7%,65.9%,5/9,4:23
23‑May‑2022,Roland Garros,Clay,R32,5,29,(5)Nadal d. (26)Botic Van De Zandschulp [NED],6-3 6-2 6-4,Rafael Nadal,Botic Van De Zandschulp,W,(ch),1.88,2.7%,1.4%,73.0%,81.5%,55.0%,1/3,2:13
23‑May‑2022,Roland Garros,Clay,R64,5,139,(5)Nadal d. Corentin Moutet [FRA],6-3 6-1 6-4,Rafael Nadal,Corentin Moutet,W,,1.44,1.4%,2.8%,65.3%,72.3%,56.0%,2/4,2:12
23‑May‑2022,Roland Garros,Clay,R128,5,82,(5)Nadal d. Jordan Thompson [AUS],6-2 6-2 6-2,Rafael Nadal,Jordan Thompson,W,,2.12,1.6%,0.0%,65.1%,73.2%,77.3%,1/2,2:04
9‑May‑2022,Rome Masters,Clay,R16,4,16,(13)Denis Shapovalov [CAN] d. (3)Nadal,1-6 7-5 6-2,Rafael Nadal,Denis Shapovalov,L,,0.97,2.2%,4.4%,72.2%,55.4%,56.0%,8/13,2:37
9‑May‑2022,Rome Masters,Clay,R32,4,27,(3)Nadal d. John Isner [USA],6-3 6-1,Rafael Nadal,John Isner,W,,1.71,2.0%,4.1%,55.1%,81.5%,59.1%,2/2,1:16
2‑May‑2022,Madrid Masters,Clay,QF,4,9,(7)Carlos Alcaraz [ESP] d. (3)Nadal,6-2 1-6 6-3,Rafael Nadal,Carlos Alcaraz,L,(ch),0.95,1.4%,1.4%,70.3%,57.7%,59.1%,1/5,2:28
2‑May‑2022,Madrid Masters,Clay,R16,4,60,(3)Nadal d. (Q)David Goffin [BEL],6-3 5-7 7-6(9),Rafael Nadal,David Goffin,W,(ch),1.24,6.4%,3.7%,66.1%,76.4%,54.1%,2/5,3:09
2‑May‑2022,Madrid Masters,Clay,R32,4,32,(3)Nadal d. Miomir Kecmanovic [SRB],6-1 7-6(4),Rafael Nadal,Miomir Kecmanovic,W,,1.36,4.6%,4.6%,67.7%,72.7%,52.4%,2/4,1:55
7‑Mar‑2022,Indian Wells Masters,Hard,F,4,20,(20)Taylor Fritz [USA] d. (4)Nadal,6-3 7-6(5),Rafael Nadal,Taylor Fritz,L,(ch),0.85,2.6%,3.8%,66.7%,55.8%,53.8%,5/9,2:06
7‑Mar‑2022,Indian Wells Masters,Hard,SF,4,19,(4)Nadal d. (19)Carlos Alcaraz [ESP],6-4 4-6 6-3,Rafael Nadal,Carlos Alcaraz,W,(ch),1.03,1.9%,3.7%,66.7%,62.5%,44.4%,9/14,3:12
7‑Mar‑2022,Indian Wells Masters,Hard,QF,4,132,(4)Nadal d. (WC)Nick Kyrgios [AUS],7-6(0) 5-7 6-4,Rafael Nadal,Nick Kyrgios,W,(ch),1.07,9.8%,6.9%,65.7%,77.6%,48.6%,3/5,2:46
7‑Mar‑2022,Indian Wells Masters,Hard,R16,4,17,(4)Nadal d. (17)Reilly Opelka [USA],7-6(3) 7-6(5),Rafael Nadal,Reilly Opelka,W,,1.81,8.2%,4.1%,69.9%,84.3%,72.7%,3/4,2:11
7‑Mar‑2022,Indian Wells Masters,Hard,R32,4,29,(4)Nadal d. (27)Daniel Evans [GBR],7-5 6-3,Rafael Nadal,Daniel Evans,W,,1.33,6.1%,7.6%,60.6%,75.0%,65.4%,3/4,1:43
7‑Mar‑2022,Indian Wells Masters,Hard,R64,4,38,(4)Nadal d. Sebastian Korda [USA],6-2 1-6 7-6(3),Rafael Nadal,Sebastian Korda,W,(ch),1.05,5.1%,8.2%,62.2%,60.7%,51.4%,7/11,2:29
21‑Feb‑2022,Acapulco,Hard,F,5,12,(4)Nadal d. (6)Cameron Norrie [GBR],6-4 6-4,Rafael Nadal,Cameron Norrie,W,(ch),1.26,5.3%,0.0%,78.9%,71.1%,41.7%,3/5,1:54
