Date,Tournament,Surface,Rd,Rk,vRk,meta_info,Score,Observed Player Name,Opponent Player Name,Observed Player W/L,More,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
28‑Jun‑2021,Wimbledon,Grass,QF,8,18,(14)Hubert Hurkacz [POL] d. (6)Federer,6-3 7-6(4) 6-0,Roger Federer,Hubert Hurkacz,L,(ch),0.68,5.4%,3.2%,64.5%,66.7%,33.3%,10/15,1:49
28‑Jun‑2021,Wimbledon,Grass,R16,8,27,(6)Federer d. (23)Lorenzo Sonego [ITA],7-5 6-4 6-2,Roger Federer,Lorenzo Sonego,W,(ch),1.58,5.1%,1.3%,60.3%,78.7%,64.5%,2/3,2:11
28‑Jun‑2021,Wimbledon,Grass,R32,8,34,(6)Federer d. (29)Cameron Norrie [GBR],6-4 6-4 5-7 6-4,Roger Federer,Cameron Norrie,W,(ch),1.33,6.1%,0.0%,66.7%,73.7%,65.8%,2/4,2:35
28‑Jun‑2021,Wimbledon,Grass,R64,8,56,(6)Federer d. Richard Gasquet [FRA],7-6(1) 6-1 6-4,Roger Federer,Richard Gasquet,W,(ch),1.61,10.5%,0.0%,65.3%,83.9%,57.6%,5/5,1:51
28‑Jun‑2021,Wimbledon,Grass,R128,8,41,(6)Federer d. Adrian Mannarino [FRA],6-4 6-7(3) 3-6 6-2 0-0 RET,Roger Federer,Adrian Mannarino,W,(ch),1.16,14.3%,2.7%,60.7%,73.5%,61.4%,6/8,2:44
14‑Jun‑2021,Halle,Grass,R16,8,21,Felix Auger Aliassime [CAN] d. (5)Federer,4-6 6-3 6-2,Roger Federer,Felix Auger Aliassime,L,,0.50,5.5%,1.1%,67.0%,62.3%,53.3%,12/15,1:44
14‑Jun‑2021,Halle,Grass,R32,8,90,(5)Federer d. (Q)Ilya Ivashka [BLR],7-6(4) 7-5,Roger Federer,Ilya Ivashka,W,,0.94,5.3%,1.3%,75.0%,77.2%,52.6%,2/2,1:34
31‑May‑2021,Roland Garros,Clay,R16,8,9,(9)Matteo Berrettini [ITA] d. (8)Federer,W/O,Roger Federer,Matteo Berrettini,L,,,,,,,,,
31‑May‑2021,Roland Garros,Clay,R32,8,59,(8)Federer d. Dominik Koepfer [GER],7-6(5) 6-7(3) 7-6(4) 7-5,Roger Federer,Dominik Koepfer,W,(ch),1.02,3.8%,0.6%,63.9%,68.3%,57.9%,2/6,3:35
31‑May‑2021,Roland Garros,Clay,R64,8,47,(8)Federer d. Marin Cilic [CRO],6-2 2-6 7-6(4) 6-2,Roger Federer,Marin Cilic,W,(ch),1.22,13.7%,0.9%,68.4%,75.0%,56.8%,5/8,2:35
31‑May‑2021,Roland Garros,Clay,R128,8,204,(8)Federer d. (Q)Denis Istomin [UZB],6-2 6-4 6-3,Roger Federer,Denis Istomin,W,(ch),2.18,12.3%,0.0%,70.8%,80.4%,78.9%,0/0,1:33
17‑May‑2021,Geneva,Clay,R16,8,75,Pablo Andujar [ESP] d. (1)Federer,6-4 4-6 6-4,Roger Federer,Pablo Andujar,L,,0.96,3.7%,0.0%,59.3%,77.1%,57.6%,2/5,1:51
8‑Mar‑2021,Doha,Hard,QF,6,42,Nikoloz Basilashvili [GEO] d. (2)Federer,3-6 6-1 7-5,Roger Federer,Nikoloz Basilashvili,L,,0.87,12.5%,0.0%,68.8%,66.7%,50.0%,7/10,1:50
8‑Mar‑2021,Doha,Hard,R16,6,28,(2)Federer d. Daniel Evans [GBR],7-6(8) 3-6 7-5,Roger Federer,Daniel Evans,W,(ch),1.16,12.4%,0.0%,67.6%,78.9%,52.9%,3/4,2:24
20‑Jan‑2020,Australian Open,Hard,SF,3,2,(2)Novak Djokovic [SRB] d. (3)Federer,7-6(1) 6-4 6-3,Roger Federer,Novak Djokovic,L,(ch),0.76,14.4%,2.9%,65.4%,66.2%,41.7%,7/11,2:18
20‑Jan‑2020,Australian Open,Hard,QF,3,100,(3)Federer d. Tennys Sandgren [USA],6-3 2-6 2-6 7-6(8) 6-3,Roger Federer,Tennys Sandgren,W,(ch),0.93,2.9%,1.8%,65.5%,71.4%,52.5%,10/14,3:31
20‑Jan‑2020,Australian Open,Hard,R16,3,67,(3)Federer d. Marton Fucsovics [HUN],4-6 6-1 6-2 6-2,Roger Federer,Marton Fucsovics,W,(ch),1.36,4.9%,0.0%,61.2%,76.2%,52.5%,7/9,2:11
20‑Jan‑2020,Australian Open,Hard,R32,3,47,(3)Federer d. John Millman [AUS],4-6 7-6(2) 6-4 4-6 7-6(8),Roger Federer,John Millman,W,(ch),1.08,9.4%,3.5%,65.3%,76.6%,50.8%,4/8,4:03
20‑Jan‑2020,Australian Open,Hard,R64,3,41,(3)Federer d. Filip Krajinovic [SRB],6-1 6-4 6-1,Roger Federer,Filip Krajinovic,W,,1.86,20.6%,0.0%,69.1%,76.6%,61.9%,2/3,1:32
20‑Jan‑2020,Australian Open,Hard,R128,3,75,(3)Federer d. Steve Johnson [USA],6-3 6-2 6-2,Roger Federer,Steve Johnson,W,(ch),2.36,16.7%,1.5%,74.2%,81.6%,76.5%,1/1,1:21
11‑Nov‑2019,Tour Finals,Hard,SF,3,6,(6)Stefanos Tsitsipas [GRE] d. (3)Federer,6-3 6-4,Roger Federer,Stefanos Tsitsipas,L,(ch),0.97,5.6%,0.0%,55.6%,70.0%,45.8%,1/4,1:36
11‑Nov‑2019,Tour Finals,Hard,RR,3,2,(3)Federer d. (2)Novak Djokovic [SRB],6-4 6-3,Roger Federer,Novak Djokovic,W,(ch),2.08,24.5%,4.1%,73.5%,80.6%,69.2%,1/1,1:13
11‑Nov‑2019,Tour Finals,Hard,RR,3,5,(5)Dominic Thiem [AUT] d. (3)Federer,7-5 7-5,Roger Federer,Dominic Thiem,L,(ch),0.97,7.4%,0.0%,69.1%,70.2%,47.6%,2/5,1:40
11‑Nov‑2019,Tour Finals,Hard,RR,3,8,(3)Federer d. (8)Matteo Berrettini [ITA],7-6(2) 6-3,Roger Federer,Matteo Berrettini,W,(ch),1.38,11.9%,0.0%,67.2%,77.8%,68.2%,3/3,1:18
21‑Oct‑2019,Basel,Hard,F,3,28,(1)Federer d. (WC)Alex De Minaur [AUS],6-2 6-2,Roger Federer,Alex De Minaur,W,(ch),1.71,8.0%,0.0%,64.0%,78.1%,61.1%,0/0,1:08
21‑Oct‑2019,Basel,Hard,SF,3,7,(1)Federer d. (3)Stefanos Tsitsipas [GRE],6-4 6-4,Roger Federer,Stefanos Tsitsipas,W,(ch),1.60,11.5%,3.8%,57.7%,80.0%,77.3%,1/1,1:18
21‑Oct‑2019,Basel,Hard,QF,3,17,(1)Federer d. (7)Stan Wawrinka [SUI],W/O,Roger Federer,Stan Wawrinka,W,,,,,,,,,
21‑Oct‑2019,Basel,Hard,R16,3,49,(1)Federer d. Radu Albot [MDA],6-0 6-3,Roger Federer,Radu Albot,W,,2.17,12.5%,2.5%,75.0%,76.7%,70.0%,2/2,1:02
21‑Oct‑2019,Basel,Hard,R32,3,112,(1)Federer d. (Q)Peter Gojowczyk [GER],6-2 6-1,Roger Federer,Peter Gojowczyk,W,,1.65,23.5%,3.9%,64.7%,81.8%,38.9%,0/1,0:52
7‑Oct‑2019,Shanghai Masters,Hard,QF,3,6,(5)Alexander Zverev [GER] d. (2)Federer,6-3 6-7(7) 6-3,Roger Federer,Alexander Zverev,L,(ch),0.70,3.3%,0.0%,64.1%,64.4%,57.6%,4/8,2:04
7‑Oct‑2019,Shanghai Masters,Hard,R16,3,14,(2)Federer d. (13)David Goffin [BEL],7-6(7) 6-4,Roger Federer,David Goffin,W,(ch),1.17,9.6%,1.2%,72.3%,71.7%,56.5%,2/3,1:54
7‑Oct‑2019,Shanghai Masters,Hard,R32,3,46,(2)Federer d. Albert Ramos [ESP],6-2 7-6(5),Roger Federer,Albert Ramos,W,,2.40,14.8%,0.0%,79.6%,90.7%,63.6%,0/0,1:24
20‑Sep‑2019,Laver Cup,Hard,RR,3,20,Federer d. John Isner [USA],6-4 7-6(3),Roger Federer,John Isner,W,,,,,,,,,
20‑Sep‑2019,Laver Cup,Hard,RR,3,27,Federer d. Nick Kyrgios [AUS],6-7(5) 7-5 [10-7],Roger Federer,Nick Kyrgios,W,(ch),,,,,,,,
26‑Aug‑2019,US Open,Hard,QF,3,78,Grigor Dimitrov [BUL] d. (3)Federer,3-6 6-4 3-6 6-4 6-2,Roger Federer,Grigor Dimitrov,L,(ch),0.91,4.2%,0.7%,61.1%,73.9%,50.0%,10/15,3:12
26‑Aug‑2019,US Open,Hard,R16,3,15,(3)Federer d. (15)David Goffin [BEL],6-2 6-2 6-0,Roger Federer,David Goffin,W,,2.18,16.1%,4.8%,67.7%,83.3%,40.0%,5/7,1:19
26‑Aug‑2019,US Open,Hard,R32,3,58,(3)Federer d. Daniel Evans [GBR],6-2 6-2 6-1,Roger Federer,Daniel Evans,W,,2.60,16.4%,1.6%,65.6%,80.0%,71.4%,1/2,1:20
26‑Aug‑2019,US Open,Hard,R64,3,99,(3)Federer d. Damir Dzumhur [BIH],3-6 6-2 6-3 6-4,Roger Federer,Damir Dzumhur,W,,1.20,13.4%,3.4%,68.9%,76.8%,43.2%,6/8,2:22
26‑Aug‑2019,US Open,Hard,R128,3,190,(3)Federer d. (Q)Sumit Nagal [IND],4-6 6-1 6-2 6-4,Roger Federer,Sumit Nagal,W,,1.21,9.1%,5.3%,60.6%,71.3%,48.1%,10/13,2:30
12‑Aug‑2019,Cincinnati Masters,Hard,R16,3,70,(Q)Andrey Rublev [RUS] d. (3)Federer,6-3 6-4,Roger Federer,Andrey Rublev,L,(ch),0.68,10.2%,4.1%,65.3%,62.5%,52.9%,1/4,1:01
